Id,Id2,Geography,"April 1, 2010 - Census","April 1, 2010 - Estimates Base",Population Estimate (as of July 1) - 2014
310M200US42020,42020,"San Luis Obispo-Paso Robles-Arroyo Grande, CA Metro Area",269637,269593,279083
310M200US42100,42100,"Santa Cruz-Watsonville, CA Metro Area",262382,262362,271804
310M200US42140,42140,"Santa Fe, NM Metro Area",144170,144171,148164
310M200US42200,42200,"Santa Maria-Santa Barbara, CA Metro Area",423895,423939,440668
310M200US42220,42220,"Santa Rosa, CA Metro Area",483878,483880,500292
310M200US42340,42340,"Savannah, GA Metro Area",347611,347621,372708
310M200US42540,42540,"Scranton--Wilkes-Barre--Hazleton, PA Metro Area",563631,563630,559679
310M200US42660,42660,"Seattle-Tacoma-Bellevue, WA Metro Area",3439809,3439815,3671478
310M200US42680,42680,"Sebastian-Vero Beach, FL Metro Area",138028,138028,144755
310M200US42700,42700,"Sebring, FL Metro Area",98786,98786,98236
310M200US43100,43100,"Sheboygan, WI Metro Area",115507,115507,115290
310M200US43300,43300,"Sherman-Denison, TX Metro Area",120877,120877,123534
310M200US43340,43340,"Shreveport-Bossier City, LA Metro Area",439811,439811,445142
310M200US43420,43420,"Sierra Vista-Douglas, AZ Metro Area",131346,131357,127448
310M200US43580,43580,"Sioux City, IA-NE-SD Metro Area",168563,168563,168806
310M200US43620,43620,"Sioux Falls, SD Metro Area",228261,228264,248351
310M200US43780,43780,"South Bend-Mishawaka, IN-MI Metro Area",319224,319215,319226
310M200US43900,43900,"Spartanburg, SC Metro Area",313268,313268,321418
310M200US44060,44060,"Spokane-Spokane Valley, WA Metro Area",527753,527753,540953
310M200US44100,44100,"Springfield, IL Metro Area",210170,210170,211567
310M200US44140,44140,"Springfield, MA Metro Area",621570,621705,629100
310M200US44180,44180,"Springfield, MO Metro Area",436712,436712,452297
310M200US44220,44220,"Springfield, OH Metro Area",138333,138333,136554
310M200US44300,44300,"State College, PA Metro Area",153990,153981,158742
310M200US44420,44420,"Staunton-Waynesboro, VA Metro Area",118502,118502,119766
